"id","dc.subject[]"
"3823308d-1091-46b7-a0ee-51032c876494","California Academy of Sciences Buildings||Exterior views||North American Hall, 1916-2003||Postcards"
"fa432dca-246c-41dd-83d0-f7d312681235","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"71e6c2e0-c2a5-47ff-b173-aa801f0ca7b1","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"5338b987-1456-4ef0-ba7c-cb4e8a13933a","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"10d0763e-7442-458c-b54a-a452ce9a29ab","Carriages and carts"
"91019d69-c388-4358-aea9-7088a1a7a0b7","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"2fba943b-86c3-4b8a-bd14-ac73cd6231ac","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"60f413df-96b1-4139-970e-f6d5da699f74","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"c4677218-6e9d-48d2-bcc5-2363b1100342","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"3cd01961-bb07-4cce-af75-19980b7244e8","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"2b043370-b64a-4e9b-b607-1be647ba5b4f","California Academy of Sciences Buildings||Exterior views||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
"30a8323e-abee-4ca7-bd2f-254b8f79c46d","Birds||Dioramas||North American Hall exhibition||Postcards"
"922b0926-e1dd-4cac-941e-64e42cb0ee9f","Birds||Dioramas||North American Hall exhibition||Postcards"
"0f1745fc-6cd8-4d71-9897-8b87fd509cb8","Portraits"
"f035e401-8f22-485a-b5ec-568d2382f394","Birds||Dioramas||North American Hall exhibition||Postcards"
"fa7c4b37-ee13-43b1-964a-c4cf706ea73e","Dioramas||Mammals||Postcards||Simson African Hall exhibition"
"59be9621-2673-4eb9-b224-dc768a39f776","Dioramas||Mammals, Postcards||Simson African Hall exhibition"
"77362ef5-a5e9-4a4b-a7de-c2764ba8a435","Dioramas||Mammals||Postcards||Simson African Hall exhibition"
"1f9caf32-68e3-45e8-af76-748f516ba549","Fish||Postcards||Scientific illustrations"
"4758e228-9b34-4f2e-b223-2464959177bf","Fish||Postcards||Scientific illustrations"
"8884d4bf-cadc-4fe9-bc89-92a320fc31e1","Fish||Postcards||Scientific illustrations"
"7d3aca9b-0cca-4e3e-8492-f0af6dcb4559","Fish||Postcards||Scientific illustrations"
"b477900e-7db4-4d62-8657-075218fd1808","Peddlers and peddling"
"1334e63f-394a-4613-93a8-67d760167833","Fish||Postcards||Scientific illustrations"
"23ff0517-29ae-4cfa-a186-7d4cf71441f8","Fish||Postcards||Scientific illustrations"
"70a330f4-9d91-4149-84fb-e3a224c32012","Fish||Postcards||Scientific illustrations"
"e040cf98-ac64-452a-a016-a2e968099149","Fish||Postcards||Scientific illustrations"
"b334a822-295d-4416-9d44-588a87dd9fbd","Fish||Postcards||Scientific illustrations"
"8ec82037-a4c7-4b17-924a-dbecb0ff53ee","Dioramas||Mammals||North American Hall exhibition||Postcards"
"3cf4df8b-5287-4827-b8ba-116c5b36e919","Dioramas||Mammals||North American Hall exhibition||Postcards"
"16eadbec-a5a4-426b-992d-b6fc7a95ad26","Botany department||Flowers"
"90a6b828-6a05-4b04-af17-4e23cf3d6e14","Peddlers and peddling"
"715aeef4-bb39-4ba6-a7b0-256706a24cb9","Almeda, Frank||Botany department||Curators||Fieldwork||Madagascar Expedition, 1998"
"5ec9ea93-3fee-4a88-8862-4e2f31dfcebd","Almeda, Frank||Botany department||Curators||Fieldwork"
"d33c79b6-a596-4820-9e18-b9ed2c05723c","Botany department||Curators||Daniel, Thomas F., 1954-||Fritsch, Peter||Specimen preparation"
"94343ce2-5eea-4a20-8e31-da04289ec014","Botany department||Curators||Founders||Kellogg, Albert, 1813-1887||Portraits"
"cd34d286-e2c5-400d-be42-97f1a34a2932","Bartholemew, Bruce||Botany department||Portraits"
"29affa25-984c-4922-99b2-01b25ef8dba6","Botany department||California Academy of Sciences Buildings ||North American Hall, 1916-2003"
"011bf059-8ad9-4853-b706-e9966aa025e9","Bolander, Henry Nicholas, 1832-1897||Botany department||Curators||Portraits"
"b8e6fcc9-6af4-4ac1-8a1e-bdbf36eeae68","Botany department||Cactus||Specimens"
"056e31a1-eadb-41c4-919d-2629684c4667","Botany department||California Academy of Sciences Buildings||Hirst, Minerva||Howell, John Thomas, 1903-1994||North American Hall, 1916-2003"
"f715c4c7-512c-4676-8d95-2e1c65541703","Botany department||Breedlove, Dennis Eugene, 1939-||Fieldwork"
"52c7c941-c48f-4641-8bde-d10ae1427a39","Donkeys||Water supply"
"b3c8849c-321d-477a-a70e-a413ece20774","Botany department||Noldeke, Anita||Specimen preparation"
"7e4b1f9d-4498-4ab7-b06a-30dd7c948d91","Cantou, Doris, d. 2001||Botany department||Howell, John Thomas, 1903-1994"
"1161dfc9-9f30-4618-9c8a-224312115fc6","Botany department"
"d1a3a072-043e-4a84-9bb0-687aa45c7194","Botany department"
"076ac560-5bfb-4542-aa35-d656c2fb1bc2","Botany department"
"e4da95e9-3552-43c2-8622-897cac24f213","Botany department||Cactus||Lindsay, George E. (George Edmund), 1916-2002||Portraits"
"f45d6857-8652-487e-bdd7-60cf7b317e87","Botany department||Breedlove, Dennis Eugene, 1939-||Portraits||Specimens"
"8a725192-513b-4263-b32d-af739389f637","Donkeys||Portraits||Water supply"
"65fdaac4-4590-4165-862f-4f615e57e266","Donkeys||Portraits||Water supply"
"3edd8e20-63d1-49a9-b009-1e890e5e5748","Donkeys||Portraits||Water supply"
"4ff9453b-5b1a-4f50-9090-b10ed1d2c1c9","Water supply"
"e8dbc4cf-5ad4-4ac2-b6c9-1dd59469042f","Museum"
"854e0fe4-335e-4b80-b7ee-23a9380609a9","Museum"
"cff912c8-25ad-4add-8c7a-b3e1e5356ac8","Museum"
"25a40981-d472-43e5-8335-57225d80100a","Buildings||Landscapes"
"5eeb061e-1e7e-4e3c-b4e9-84ceb821ef8d","Buildings||Landscapes"
"4861c4ca-a760-4ac5-80d2-21e3c10cfb7f","Bridges||Landscapes"
"2d23fe18-afe0-41dd-9dba-f0d2f58627aa","Buildings"
"119975f1-e411-4a4d-9f95-e56563331f6f","Buildings||Donkeys"
"a596dc35-ff65-4d92-8834-f61afd0dc482","Buildings"
"d5b1259a-8c91-4616-8684-bb214d16b9ca","Buildings"
"85e07442-055e-465a-a832-3817cd928f21","Architectural details||Buildings"
"b2199c1f-9357-47c5-8fd1-10c04ea29310","Buildings"
"e162eb68-21d7-4773-a152-4f17763e2300","Buildings||Churches"
"08209b4f-6506-4c08-abc3-a2b3ddfdceb0","Buildings||Churches"
"f83e1993-18bb-4aaa-a539-a0daf7f5362b","Architectural details||Buildings||Churches"
"69e8073d-3cca-4b48-a847-2623bcbfc220","Architectural details||Buildings||Churches"
"45032e1f-c196-4cae-a6c9-f04ac4ad7e54","Architectural details||Buildings||Churches"
"564c68d3-6052-4d7c-aa21-44040d50ad58","Architectural details||Buildings"
"9b37e0bb-116e-4f37-b157-085971d04e49","Architectural details||Buildings||Dwellings"
"d7c691ae-7d1f-450b-ae46-45890d731de0","Architectural details||Buildings"
"1429daac-05fc-4d7f-a78b-de770ac18ce0","Architectural details||Buildings"
"49549890-8584-47f1-b18a-7fc63308857c","Architectural details||Buildings"
"bb34e69b-6ddb-4be1-9de5-98364b1084ea","Architectural details||Buildings"
"783328ee-50ee-4740-82b6-3eab5d864385","Architectural details||Buildings||Dwellings"
"6de79a7e-493e-4b86-8238-77ed6e72db43","Architectural details||Buildings||Dwellings"
"0addc689-9e8d-470d-b8d0-9729c14d9711","Architectural details||Buildings||Dwellings"
"a49335ea-a023-4f58-9dc8-b7fe39dfcd6f","Buildings||Churches"
"9efac7f1-e8c9-4691-a0c6-cd7913a29740","Architectural details||Buildings||Churches"
"d12560fa-f344-444d-9aa0-2a5f4a688ae2","Architectural details||Buildings||Churches"
"436ea986-3e9d-4cd6-9c06-688225d5d88a","Architectural details||Buildings||Churches"
